id,gender,race,rank,age,career_length,complaint_percentile,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,allegation_count,sustained_count,civilian_compliment_count,discipline_count,honorable_mention_count,major_award_count,trr_count,unsustained_count,number_of_awards,salary
32195,M,White,Police Officer,48,21,92.5032,93.5220,83.6951,0.0000,26,0,1,0,38,0,12,6,61,90024
28586,M,White,Police Officer,71,47,93.2290,97.6400,0.0000,0.0000,36,4,0,4,5,0,0,26,6,69264
10970,M,Black,Police Officer,68,40,77.5280,49.5752,0.0000,0.0000,21,0,4,0,0,0,0,15,6,78006
12679,M,Hispanic,Police Officer,47,21,88.7012,89.5804,96.2092,61.1521,23,0,2,0,108,0,6,7,133,90024
25852,F,Black,Police Officer,64,34,76.8686,42.8719,52.4608,75.3090,23,4,0,3,2,0,0,13,4,85278
833,M,Black,Police Officer,57,34,92.2662,61.9992,50.0275,79.9133,44,2,5,2,6,0,14,26,15,96060
12582,M,White,Police Officer,51,24,90.2067,88.5838,75.3437,61.1521,29,1,1,0,23,0,9,17,32,93354
14842,M,White,Sergeant of Police,70,42,81.4760,76.3604,0.0000,92.5665,25,2,0,2,10,0,3,17,10,93276
9350,M,Black,Police Officer,42,16,90.4780,87.4826,92.3311,94.0502,19,2,3,2,52,3,3,4,74,87006
10291,M,Hispanic,Police Officer,52,28,82.4348,81.8766,46.4987,61.1521,25,4,1,4,4,0,17,14,10,96060
32072,M,Black,Sergeant of Police,53,27,83.5658,57.7487,74.6127,61.1521,24,1,4,1,24,0,0,13,56,107988
465,M,Hispanic,Police Officer,44,20,93.9246,94.8575,88.1586,0.0000,29,0,2,0,49,0,11,7,73,90024
24597,M,Hispanic,Police Officer,47,23,89.7864,88.5838,91.4319,0.0000,26,0,1,0,74,0,4,14,94,93354
6301,M,Black,Police Officer,58,29,80.3867,59.7419,51.5369,90.3080,24,4,1,4,5,0,2,13,13,93240
19584,M,White,Police Officer as Detective,73,53,70.3698,37.6259,42.4477,0.0000,19,1,2,1,1,0,0,10,9,93618
32096,M,White,Police Officer,43,17,94.0201,94.3592,98.4313,73.9835,25,1,2,1,124,1,31,9,148,87006
529,F,Black,Police Officer,71,44,88.4696,87.5672,0.0000,86.2022,28,4,2,3,3,0,0,18,6,76476
10750,M,White,Police Officer,50,23,94.9792,95.7794,93.0524,0.0000,35,0,5,0,85,0,33,8,105,93354
32238,M,White,Police Officer,52,24,89.7558,89.5804,85.0050,0.0000,27,0,5,0,48,1,10,10,84,93354
5438,M,Hispanic,Police Officer,46,20,94.1691,94.4788,95.1968,71.2129,27,0,2,0,87,0,24,9,102,90024
2259,M,White,Sergeant of Police,54,30,87.1308,83.7403,60.4101,79.9133,33,0,4,0,10,0,7,16,24,111474
28412,M,Black,Police Officer,51,29,78.4647,81.8766,63.0139,61.1521,22,1,5,1,11,1,1,9,22,96060
20154,M,White,Sergeant of Police,55,26,97.0922,96.1830,89.7791,0.0000,49,0,7,0,74,0,23,31,128,107988
16544,M,Hispanic,Police Officer,48,21,95.1702,95.0419,96.9984,79.9133,31,1,3,1,117,1,10,14,156,90024
9527,M,Hispanic,Police Officer Assigned Evidence Technician,56,26,81.8922,74.8804,78.8789,0.0000,22,0,4,0,33,0,2,12,58,98052
28503,M,Black,Police Officer,56,28,93.7947,91.4192,64.9449,0.0000,41,2,5,1,12,0,7,24,25,93354
21081,M,White,Captain of Police,49,23,94.9792,95.7794,85.5969,0.0000,36,0,2,0,48,1,4,18,77,132876
28748,M,Hispanic,Sergeant of Police,72,44,80.1327,72.9050,68.0423,90.7647,24,2,3,2,6,0,1,13,11,96072
22336,M,Black,Police Officer,48,24,81.9342,81.8766,49.7235,93.0935,20,3,1,3,4,0,1,8,9,80724
11695,M,Black,Lieutenant of Police,57,33,66.1075,47.6380,58.9449,0.0000,19,3,1,2,10,0,5,11,19,125190
13691,M,Black,Police Officer,51,16,92.0523,92.0969,86.6675,74.9950,19,0,5,0,34,3,20,4,61,87006
4845,M,White,Police Officer as Detective,65,34,80.2453,61.9992,47.1941,0.0000,27,0,6,0,5,0,1,15,20,103932
21585,M,Hispanic,Police Officer as Detective,47,22,95.9879,97.0052,97.9041,0.0000,36,0,3,0,145,1,7,9,193,97440
7972,M,Hispanic,Sergeant of Police,47,24,90.1800,90.4873,95.6658,79.9133,29,2,3,1,114,0,15,9,140,107988
8668,M,White,Police Officer,40,16,98.8766,98.5200,99.1849,94.4838,34,2,3,2,130,0,30,12,157,87006
22709,M,White,Police Officer,42,19,97.6873,96.7459,98.1139,94.2919,29,1,1,1,85,0,22,8,113,90024
12040,M,Hispanic,Sergeant of Police,50,24,83.9211,83.7403,81.1592,79.9133,21,2,2,1,35,0,7,9,48,107988
10511,M,White,Police Officer,44,18,92.3197,92.5802,99.8092,73.7393,22,0,13,0,212,1,27,2,277,87006
13922,M,Asian/Pacific,Police Officer Assigned Evidence Technician,50,24,93.8443,89.5804,91.4545,88.3297,34,2,2,2,78,0,8,15,100,98052
5566,M,White,Lieutenant of Police,63,29,83.5778,84.5459,86.9254,70.2933,26,0,17,0,59,1,14,12,99,119076
25166,M,Hispanic,Police Officer,46,15,95.2237,93.8210,89.5753,95.0767,21,1,6,1,38,0,10,0,56,87006
10171,M,White,Police Officer as Detective,52,29,95.7128,85.1455,77.4493,0.0000,48,2,5,2,33,0,2,33,62,103932
22810,M,Black,Sergeant of Police,77,48,89.1322,95.0816,0.0000,92.2933,28,5,0,5,8,0,0,17,12,82422
3814,M,Hispanic,Police Officer,54,21,86.2749,86.3763,70.7148,79.9133,20,1,5,1,12,0,6,10,23,89130
14283,M,White,Police Forensic Investigator I,45,21,87.3753,89.5804,92.2664,0.0000,21,0,4,0,72,0,0,18,90,107790
26792,M,Black,Police Officer,58,22,85.3234,86.3763,68.8941,0.0000,20,3,9,2,12,0,1,6,31,90024
18984,M,White,Police Officer,76,42,81.1641,71.4067,88.9115,82.9654,23,0,0,0,39,0,2,13,43,78006
127,M,Black,Sergeant of Police,70,34,93.2386,92.1618,52.1066,96.3790,45,5,4,5,10,1,0,20,19,101958
13281,M,White,Police Officer,76,49,88.6442,79.1877,0.0000,95.6159,28,2,4,2,0,0,0,19,6,69264
29942,M,White,Sergeant of Police,58,22,92.1707,91.4192,77.0353,79.9133,28,0,2,0,24,0,5,15,41,104628
1924,M,White,Sergeant of Police,52,27,79.5881,0.0000,54.2452,61.1521,21,1,8,1,6,0,0,15,29,107988
1866,M,Hispanic,Police Officer,50,25,80.9598,79.7738,89.4912,79.9133,21,0,7,0,68,0,6,11,91,93354
21320,M,Asian/Pacific,Police Officer,55,29,95.0250,90.4873,75.1075,0.0000,47,0,5,0,29,1,0,37,56,96060
14597,M,White,Police Officer as Detective,43,20,87.9600,89.4309,83.3748,0.0000,20,0,3,0,34,0,1,9,51,97440
22996,M,Black,Police Officer,74,38,75.3487,76.4768,0.0000,0.0000,21,3,0,3,3,0,0,13,9,78006
20450,M,Black,Police Officer,44,21,98.9148,98.4652,82.5371,95.6348,49,2,4,2,33,0,8,14,55,90024
3789,M,Hispanic,Police Officer,53,27,83.6575,65.6966,76.9027,79.9133,24,1,3,0,29,0,2,19,51,93354
