officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity
29451,1.25,3.5,28.5,1,41.4008,0,3,6.425,9.6
29452,3.3023255813953488,8.232558139534884,31.232558139534884,1,96.8247,0,2,12.8502325581395349,42.38
29453,6.3333333333333333,7.666666666666667,44.666666666666664,1,35.6922,0,3,5.185,9.6
29454,5.3333333333333333,6.055555555555555,33.05555555555556,1,94.7958,0,1,9.6105555555555556,16.59
29456,3.3333333333333333,7.333333333333333,31.333333333333332,0,29.2652,0,3,7.93,13.42
29458,2.25,3,36,0,41.6071,0,3,4.9175,6.3
29459,2.2941176470588235,8.176470588235293,34.1764705882353,1,73.5356,0.05882352941176470588,2,8.9958823529411765,16.59
29460,1,26.5,52.5,1,26.1856,0,3,13.98,16.59
29461,1.6666666666666667,18.666666666666668,52.666666666666664,1,68.3115,0,3,12.74,16.59
29462,4.2,21.2,49.2,1,68.3323,0,2,17.394,42.38
29464,2.25,2.5,31.5,0,91.7848,0,2,8.805,14.73
29465,1.7142857142857143,5,34,1,71.5525,0.14285714285714285714,3,7.3228571428571429,16.59
29466,1.6666666666666667,5.666666666666667,28.666666666666668,1,25.4977,0,3,9.2,15
29467,1.6666666666666667,9,34,0,23.3044,0,3,7.2466666666666667,15.38
29469,1,2,27,0,0,0,3,1.14,1.14
29470,2.607843137254902,10.686274509803921,37.68627450980392,1,95.5982,0.03921568627450980392,2,8.6768,16.59
29471,2.4,9.266666666666667,46.266666666666666,1,73.6197,0.13333333333333333333,2,2.578,9.6
29472,4.5,2.5,31.5,0,84.288,0,2,5.315,13.42
29473,1,26,47,1,23.2261,0,3,3.18,3.18
29474,3.5555555555555556,6.666666666666667,28.666666666666668,1,72.6338,0,2,12.8916666666666667,17.67
29475,5,4.25,31.25,1,33.7664,0,2,7.125,9.6
29476,2.6,8.066666666666666,37.06666666666667,1,68.8166,0.2,2,11.585,16.59
29479,2.5,8.25,33.25,0,25.8951,0.5,2,5.1125,7.08
29480,2.5652173913043478,6.695652173913044,33.69565217391305,1,82.557,0.04347826086956521739,2,10.2356521739130435,16.59
29481,2.1111111111111111,4.888888888888889,28.88888888888889,0,77.4789,0,3,6.2855555555555556,15
29482,2.75,12,43,1,36.4946,0.25,2,10.6175,16.59
29483,5.3333333333333333,4,29,1,69.9209,0,1,7.7311111111111111,16.59
29484,2.0526315789473684,6.157894736842105,35.1578947368421,1,88.5637,0.05263157894736842105,2,8.0666666666666667,15.51
29485,2,5.636363636363637,31.636363636363637,1,81.6247,0,2,14.4154545454545455,42.38
29486,3.8214285714285714,6.678571428571429,32.67857142857143,1,89.2706,0,1,11.3089285714285714,20.52
29487,5.3333333333333333,3,38,1,73.505,0.33333333333333333333,3,2.8833333333333333,7.11
29490,6.7272727272727273,5.636363636363637,30.636363636363637,1,52.5467,0,2,9.6445454545454545,17.67
29491,11,5.6,39.6,1,51.5571,0,2,8.924,9.6
29493,3.7368421052631579,6,29,1,92.6592,0.05263157894736842105,2,9.2173684210526316,16.59
29494,4.8947368421052632,9.473684210526315,42.473684210526315,1,68.3906,0,2,8.8821052631578947,17.67
29496,2.3333333333333333,12.333333333333334,36.333333333333336,1,18.654,0,3,11.3633333333333333,16.59
29497,2.25,19.75,44.75,1,37.3606,0.25,3,8.9375,13.42
29498,2.3333333333333333,4.333333333333333,39.333333333333336,1,54.1898,0,3,5.8266666666666667,9.6
29499,2.7058823529411765,9.705882352941176,39.705882352941174,1,97.5912,0.17647058823529411765,2,6.3558823529411765,16.59
29500,4.6666666666666667,11.333333333333334,44.333333333333336,1,18.0644,0,3,9.31,16.59
29501,2.3333333333333333,13.333333333333334,41.333333333333336,1,58.6758,0,2,7.158,17.67
29502,1.9166666666666667,7,44,1,60.3263,0.08333333333333333333,2,9.1625,16.59
29503,1.9333333333333333,7.2,38.2,1,72.8555,0,2,8.016,13.42
29504,2.55,6.15,30.15,1,73.9559,0,2,9.3685,16.59
29505,3.4,7.5,36.5,0,64.732,0.2,2,6.126,20.52
29506,5,1,28,1,75.267,1,3,7.66,7.66
29507,1.75,2,38,1,56.3983,0,3,5.945,9.6
29509,2.3846153846153846,23,52,1,57.5007,0.07692307692307692308,3,7.9407692307692308,16.59
29510,1.5,1.5,35.5,0,40.3706,0,3,8.22,8.22
29511,4.5,10.98,37.98,1,95.8356,0.02,2,9.7876,17.67
29512,3.5,19.76923076923077,41.76923076923077,1,90.3267,0.03846153846153846154,2,10.3507692307692308,19.9
29513,5.3636363636363636,4.454545454545454,30.454545454545453,1,69.8827,0,2,10.9309090909090909,16.59
29514,2.5882352941176471,7.823529411764706,32.8235294117647,1,75.6563,0,2,10.0352941176470588,42.38
29516,3.3846153846153846,6.615384615384615,31.615384615384617,1,77.5591,0,2,8.61,16.59
29517,2.8,4.7,33.7,1,79.6187,0,2,9.411,16.59
29518,2.3333333333333333,1.5,26.5,0,62.9475,0.16666666666666666667,3,9.2516666666666667,16.59
29519,1,22,44,1,25.0847,1,3,20.52,20.52
29520,1.88,26.52,48.52,1,79.3776,0,2,9.4534782608695652,16.59
29521,3.5714285714285714,4.857142857142857,28.857142857142858,1,64.7969,0.14285714285714285714,2,10.1842857142857143,16.59
29522,1.6,9.2,42.2,1,44.9734,0.4,3,10.746,16.59
29526,1,18.666666666666668,44.666666666666664,1,53.9393,0,3,3.5,8.22
29527,3.3076923076923077,5.615384615384615,31.615384615384617,0,68.4957,0,2,9.7084615384615385,17.67
29529,2.7692307692307692,5.384615384615385,29.384615384615383,1,89.7367,0,2,8.6769230769230769,16.59
29530,2.3333333333333333,2,30,0,55.9856,0,3,8.5266666666666667,16.59
29531,2,3.2,28.2,1,69,0,3,6.506,9.6
29532,4.1818181818181818,20.09090909090909,46.09090909090909,1,54.8652,0,2,7.6409090909090909,16.59
29533,4,13,60,1,24.9722,0,3,3.18,3.18
29534,1.6,28,48,1,54.8221,0.2,2,6.06,8.22
29536,2.7777777777777778,20.333333333333332,45.333333333333336,1,51.3108,0.11111111111111111111,3,7.5088888888888889,16.59
29537,2.25,20.75,47.75,1,75.116,0.25,3,9.08,13.42
29538,2.75,7.2,32.2,1,90.6538,0.1,2,12.611,16.59
29539,4,6.928571428571429,31.928571428571427,1,83.1799,0,1,9.7892857142857143,16.59
29540,4,4.2,30.2,1,54.6292,0.2,3,15.578,42.38
29542,2.9090909090909091,8.272727272727273,34.27272727272727,1,48.1411,0.09090909090909090909,2,11.6445454545454545,17.67
29543,2.7894736842105263,7.2631578947368425,32.26315789473684,0,83.8333,0.05263157894736842105,2,7.2005263157894737,16.59
29544,2,10.4,47.4,1,50.5766,0.1,3,5.942,16.59
29545,3,5.5,35.5,0,32.899,0,1,9.655,13.42
29546,1.6666666666666667,2.3333333333333335,33.333333333333336,1,74.6857,0.33333333333333333333,3,7.2466666666666667,11.37
29548,2.1428571428571429,19.285714285714285,41.285714285714285,1,51.8714,0,2,8.9228571428571429,16.59
29549,2.4,27.6,50.6,1,46.6599,0.4,2,9.77,17.67
29550,2.3333333333333333,7,41,0,20.2489,0,3,8.4633333333333333,16.59
29551,7,29.333333333333332,50.333333333333336,1,30.6353,0,2,6.78,9.6
29552,1.5,14.166666666666666,47.166666666666664,0,34.1412,0.33333333333333333333,2,8.2283333333333333,15
29554,2.6363636363636364,6.363636363636363,31.363636363636363,1,81.7126,0,2,9.9822727272727273,16.59
29556,2,9,46,0,20.8895,0,3,7.66,7.66
29557,3.4705882352941176,7.382352941176471,32.38235294117647,1,94.6811,0,2,9.1190625,17.67
29558,2,26,48,1,61.493,0.33333333333333333333,2,7.29,15.51
