gender,race,allegation_count,sustained_count,honorable_mention_count,unsustained_count,discipline_count,civilian_compliment_count,trr_count,major_award_count,current_salary
M,Black,46,2,5,28,2,6,1,0,73116
M,White,46,1,10,23,1,1,2,0,92268
M,Black,46,1,31,37,1,11,3,1,102900
M,White,45,1,18,29,1,5,6,0,89718
M,White,45,0,30,27,0,1,7,0,96060
M,White,45,0,1,27,0,0,1,0,93276
M,Black,45,3,8,32,3,0,0,0,86532
M,White,45,0,10,20,0,4,2,0,93354
M,Hispanic,45,2,39,29,1,3,4,1,93354
M,Black,45,5,10,20,5,4,0,1,101958
M,Black,45,7,9,13,7,5,5,0,93354
M,White,45,1,11,27,1,0,0,0,92130
M,White,45,0,61,10,0,3,14,2,90024
M,White,45,1,56,29,0,1,0,0,98766
M,Black,45,1,26,30,1,2,8,0,107988
M,White,45,1,12,30,1,10,0,3,162684
F,Black,45,2,6,19,2,1,2,0,83706
M,White,45,0,1,33,0,0,0,0,60600
M,Hispanic,45,0,2,29,0,2,0,0,100884
M,White,45,1,35,26,1,3,2,0,89718
M,Black,45,0,28,13,0,6,10,0,104628
M,Black,45,10,3,15,11,4,4,0,92316
M,White,45,0,30,29,0,10,3,0,103932
M,Black,45,2,27,24,2,3,0,1,93354
M,White,45,1,19,10,1,1,2,0,68262
M,White,45,2,34,12,2,1,16,0,99978
M,White,45,3,19,18,2,3,14,0,96060
M,Hispanic,45,5,24,22,5,4,7,0,93354
M,White,45,3,25,14,0,7,4,0,96060
M,White,45,5,9,23,5,0,2,0,90348
M,White,45,2,3,34,1,3,1,1,90456
M,White,45,2,66,25,2,7,7,1,107988
M,Hispanic,45,2,24,28,2,0,1,0,101958
M,White,45,1,60,22,1,7,16,0,95106
M,Black,45,7,0,30,6,0,0,0,72870
M,Black,45,4,16,24,3,5,2,0,111474
M,Black,45,7,4,28,7,4,0,0,
M,Black,44,3,10,34,3,2,1,0,111474
M,White,44,2,29,21,3,2,7,0,111474
M,White,44,0,1,29,0,0,0,0,69264
M,White,44,7,2,32,7,2,0,0,
M,White,44,1,50,17,0,2,7,0,93354
M,White,44,1,5,29,1,2,5,0,87888
M,Native American/Alaskan Native,44,2,1,35,1,0,0,0,
M,White,44,2,36,16,3,4,3,1,100980
M,White,44,2,48,31,2,6,7,0,93354
M,White,44,0,8,35,0,3,0,0,103932
M,White,44,1,17,23,0,3,1,0,111474
M,White,44,1,0,36,1,2,0,0,82008
M,Black,44,6,0,31,6,0,0,0,
M,Black,44,4,6,18,5,1,11,0,95106
M,White,44,0,6,31,0,2,0,0,98052
M,White,44,1,3,24,1,0,7,0,69270
M,Hispanic,44,0,91,19,0,3,18,0,93354
M,White,44,2,4,25,2,4,0,0,80022
M,Black,44,3,21,21,2,4,12,0,93354
M,White,44,2,22,31,2,4,2,0,111474
M,White,44,0,129,6,0,2,1,0,90024
M,White,44,3,2,20,2,5,0,1,101634
M,Black,44,5,42,17,4,1,3,0,106920
M,Hispanic,44,0,26,27,0,9,6,0,96060
M,Black,44,3,65,22,3,4,0,0,103932
M,Hispanic,44,8,4,25,8,3,1,0,86130
M,White,44,0,23,8,0,3,3,0,97440
M,Hispanic,44,4,12,27,4,2,4,0,
M,White,44,1,56,14,1,2,10,1,90024
M,Hispanic,44,2,34,25,2,4,2,0,96060
M,Black,44,2,6,26,2,5,14,0,96060
M,Black,44,3,11,24,3,11,1,0,93354
M,Hispanic,43,2,3,25,2,0,0,1,79926
M,Black,43,3,18,20,3,1,14,0,90540
F,White,43,4,26,29,4,2,3,0,97080
M,White,43,1,4,34,1,2,1,0,85278
M,White,43,0,12,25,0,2,2,0,100884
M,White,43,2,32,26,0,5,5,0,95106
M,White,43,0,56,24,0,8,7,0,93354
