,officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity,compound,neg,neu,pos
4950,7169,1.0,31.0,56.0,1,63.9437,0.0,3,6.07,6.07,,,,
4951,7172,2.0454545454545454,5.363636363636363,31.363636363636363,1,86.7449,0.2272727272727273,2,10.124090909090908,17.67,,,,
4952,7173,4.2142857142857135,4.928571428571429,34.92857142857143,1,77.8572,0.14285714285714285,2,8.705714285714285,15.51,,,,
4955,7179,2.0,21.0,42.0,1,64.5912,0.0,3,7.66,7.66,,,,
4956,7181,3.6666666666666665,25.0,52.0,1,26.2663,0.0,3,7.4,9.6,,,,
4957,7182,1.9047619047619049,8.904761904761905,33.904761904761905,0,90.0844,0.0,2,10.9075,16.59,,,,
4961,7187,1.0,25.66666666666667,47.66666666666666,1,33.7811,0.3333333333333333,3,16.78,17.67,,,,
4962,7188,3.0,13.0,35.0,1,17.8709,0.0,3,0.77,0.77,,,,
4965,7191,2.0,13.666666666666664,41.66666666666666,1,28.9267,0.0,2,11.93,16.59,,,,
4967,7195,3.3783783783783785,6.945945945945946,32.945945945945944,1,96.8706,0.027027027027027025,1,10.051891891891893,16.59,,,,
4968,7196,4.0,25.0,47.0,1,32.2511,0.0,3,9.86,13.42,,,,
4969,7199,2.4722222222222223,4.111111111111111,28.11111111111111,1,99.5106,0.02777777777777778,1,9.30205882352941,16.59,,,,
4971,7201,4.157894736842104,5.7368421052631575,28.73684210526316,1,83.9364,0.0,1,12.94833333333333,42.38,,,,
4976,7206,2.833333333333333,6.333333333333332,30.33333333333333,1,83.9543,0.25,2,5.3183333333333325,15.0,,,,
4979,7210,4.0,3.5,26.5,1,93.8441,0.05555555555555556,2,9.13,16.59,,,,
4980,7211,1.0,21.33333333333333,42.333333333333336,1,85.1566,0.6666666666666666,3,4.11,4.42,,,,
4984,7216,3.1,6.7666666666666675,32.766666666666666,1,96.5955,0.03333333333333333,2,11.963448275862069,16.59,,,,
4987,7220,2.0,24.75,47.75,1,55.1104,0.0,3,12.23,42.38,,,,
4988,7221,1.0,2.0,29.0,1,84.3302,1.0,3,7.08,7.08,,,,
4990,7223,1.8571428571428568,3.7142857142857135,35.714285714285715,1,73.9827,0.07142857142857144,2,10.729285714285714,20.52,,,,
