officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
20115,M,White,1989-12-26,Police Officer,Yes,1956,69.1001,8,0.0000,2,33,4,9,16180,3,0,15
20118,M,Black,1993-12-13,Police Officer,No,1955,76.5099,21,0.0000,2,23,2,2,6653,2,0,11
20119,M,White,1990-03-26,Police Officer as Detective,No,1957,26.6000,2,74.1514,0,15,3,7,,4,0,8
20121,M,White,2000-12-18,Police Officer as Detective,Yes,1978,93.9456,149,84.8415,25,27,0,9,21395,0,1,8
20123,M,White,1999-11-15,Police Officer,Yes,1975,74.8804,14,0.0000,5,12,0,6,13091,0,0,4
20124,M,White,1965-09-27,Police Officer,No,1937,,10,,0,13,2,0,,2,0,7
20125,M,White,1996-11-04,Lieutenant of Police,Yes,1972,94.6432,103,88.3297,28,40,0,13,183,0,1,15
20130,M,White,1993-12-13,Sergeant of Police,Yes,1970,72.3141,61,61.1521,1,18,1,1,578,1,1,8
20138,M,White,1986-08-11,Police Officer,No,1950,53.3946,9,0.0000,7,7,0,1,8246,0,0,4
20141,M,White,1999-03-08,Police Officer,No,1956,,6,,0,2,0,1,,0,0,2
20142,M,White,1998-07-27,Sergeant of Police,Yes,1975,74.8804,10,88.3297,10,19,3,2,910,2,0,6
20144,F,Hispanic,1989-12-26,Police Officer,No,1959,26.2331,0,71.5858,0,10,1,1,,1,0,6
20149,M,Asian/Pacific,2001-09-24,Police Officer,Yes,1973,89.0273,42,85.5491,11,21,2,5,16130,1,0,0
20153,M,White,1992-12-07,Sergeant of Police,Yes,1970,47.6380,11,61.1521,6,15,1,7,1033,0,0,9
20154,M,White,1994-05-02,Sergeant of Police,Yes,1965,96.1830,74,0.0000,23,49,0,7,1192,0,0,31
20156,F,White,1986-07-14,Sergeant of Police,No,1960,32.3623,2,70.6669,0,5,1,2,,0,1,1
20157,M,White,1994-01-18,Police Officer,Yes,1965,96.4820,17,0.0000,7,49,1,14,3175,1,0,14
20158,F,White,2006-05-01,Police Officer,Yes,1973,89.9841,21,0.0000,7,13,0,1,14845,0,0,2
20159,M,White,1986-07-14,Police Officer as Detective,No,1964,59.9661,5,0.0000,2,23,0,4,21137,0,0,18
20160,F,Black,1998-08-31,Police Officer,No,1967,37.1770,3,77.5679,1,4,2,1,19068,2,0,0
20164,M,White,1973-02-19,Police Officer,No,1948,43.3530,2,0.0000,0,7,0,0,,0,0,5
20168,M,White,1995-09-05,Lieutenant of Police,Yes,1972,57.7487,24,61.1521,3,19,0,3,701,0,0,8
20169,M,White,2004-11-29,Police Officer,Yes,1971,35.3398,25,76.0763,3,3,0,3,7130,0,1,3
20171,F,Black,1977-01-03,Sergeant of Police,No,1953,68.5342,0,99.7547,0,16,3,0,,3,0,6
20176,F,Black,1986-06-16,Police Officer as Detective,Yes,1958,35.6089,2,88.3297,0,8,3,1,21442,2,0,3
20177,M,Black,2009-12-16,Police Officer / Field Training Officer,Yes,1983,94.5386,108,0.0000,16,11,0,5,7937,0,0,2
20179,M,Black,2013-05-01,Police Officer,Yes,1980,50.6528,3,96.2826,3,2,0,0,19959,0,0,1
20180,M,White,1991-06-19,Police Officer,No,1955,45.9859,4,85.7582,2,14,2,1,6572,2,0,6
20181,M,White,2000-06-19,Police Officer,No,1972,61.9655,29,86.2401,5,9,2,5,16447,2,0,4
20182,M,White,2006-07-31,Police Officer,Yes,1973,64.1270,7,0.0000,9,5,0,3,5074,0,0,0
20183,F,White,2002-10-28,Police Officer,Yes,1977,60.2103,24,0.0000,4,6,1,4,19813,1,0,1
20184,M,White,2000-09-11,Police Officer,Yes,1962,38.5639,19,0.0000,5,3,0,10,12719,0,0,1
20185,M,Asian/Pacific,1999-11-29,Police Officer,Yes,1969,29.7987,12,0.0000,4,3,0,3,7158,0,0,0
20186,M,Asian/Pacific,1994-10-03,Police Officer,No,1953,33.2821,2,0.0000,1,4,0,5,18470,0,0,2
20187,M,White,1995-01-03,Police Officer,Yes,1963,72.3141,13,79.9133,5,25,0,5,8516,0,0,11
20190,M,White,2016-04-25,Police Officer,Yes,1985,,1,,0,1,0,0,13341,0,0,0
20193,M,White,1988-12-05,Deputy Chief,Yes,1965,61.9992,8,79.9133,5,19,0,20,66,0,0,8
20194,M,Asian/Pacific,1973-10-22,Police Officer,No,1948,30.4782,2,0.0000,0,2,0,3,,0,0,1
20196,M,White,2006-11-27,Police Officer,Yes,1981,97.3091,122,0.0000,40,22,1,9,5088,1,0,5
20199,M,White,1995-02-06,Police Officer,Yes,1968,87.5224,7,0.0000,3,26,0,3,18974,0,0,12
20200,M,White,2013-12-02,Police Officer,Yes,1980,56.0694,12,0.0000,0,1,0,0,11336,0,0,0
20204,M,White,1992-06-29,Lieutenant of Police,No,1953,29.7987,2,93.0935,0,15,1,3,367,1,0,10
20205,M,White,1993-11-22,Sergeant of Police,Yes,1970,41.5139,13,61.1521,5,7,1,3,1849,1,0,1
20207,M,Black,1994-12-05,Police Officer as Detective,Yes,1965,98.0616,4,79.9133,1,59,5,2,20797,4,0,36
20208,M,Black,1992-12-07,Police Officer,No,1942,64.5836,0,0.0000,0,13,7,0,,3,0,5
